,region,constituency,name,cdd_anom
367,367,,E14001430,0.0
368,368,,E14001431,0.2804374694824219
369,369,,E14001432,0.0
370,370,,E14001433,0.0
371,371,,E14001434,0.0
372,372,,E14001435,0.0
373,373,,E14001436,0.0
374,374,,E14001437,0.0
375,375,,E14001438,0.0
376,376,,E14001439,0.5445642471313477
377,377,,E14001440,0.0
378,378,,E14001441,0.030796051025390625
379,379,,E14001442,0.5905799865722656
380,380,,E14001443,-0.49896445870399475
381,381,,E14001444,-0.1875530630350113
382,382,,E14001445,0.5079727172851562
383,383,,E14001446,0.0
384,384,,E14001447,0.3989124298095703
385,385,,E14001448,0.38985252380371094
386,386,,E14001449,0.44510984420776367
387,387,,E14001450,-0.3692026138305664
388,388,,E14001451,0.0
389,389,,E14001452,-0.039130210876464844
390,390,,E14001453,-0.08188438415527344
391,391,,E14001454,0.0
392,392,,E14001455,-0.35688304901123047
393,393,,E14001456,0.6855049133300781
394,394,,E14001457,-0.07427692413330078
395,395,,E14001458,-0.050621576607227325
396,396,,E14001459,0.0
397,397,,E14001460,0.7234293818473816
398,398,,E14001461,-0.41956600546836853
399,399,,E14001462,-0.390338271856308
400,400,,E14001463,-0.3463783264160156
401,401,,E14001464,-0.2531410753726959
402,402,,E14001465,0.4224586486816406
403,403,,E14001466,-0.015216827392578125
404,404,,E14001467,0.0
405,405,,E14001468,0.0
406,406,,E14001469,0.0
407,407,,E14001470,0.0
408,408,,E14001471,-0.2821258008480072
409,409,,E14001472,0.0
410,410,,E14001473,0.48949241638183594
411,411,,E14001474,0.0
412,412,,E14001475,-0.25003671646118164
413,413,,E14001476,0.03550688549876213
414,414,,E14001477,0.0
415,415,,E14001478,0.0
416,416,,E14001479,-0.012323379516601562
417,417,,E14001480,0.21521759033203125
418,418,,E14001481,0.6576077342033386
419,419,,E14001482,0.33007144927978516
420,420,,E14001483,0.009421348571777344
421,421,,E14001484,0.8934795260429382
422,422,,E14001485,0.8007252812385559
423,423,,E14001486,0.7028980255126953
424,424,,E14001487,0.29213088750839233
425,425,,E14001488,-0.09637641906738281
426,426,,E14001489,0.3657003939151764
427,427,,E14001490,0.24637794494628906
428,428,,E14001491,-0.44275426864624023
429,429,,E14001492,-0.610870361328125
430,430,,E14001493,0.361715167760849
431,431,,E14001494,0.42149797081947327
432,432,,E14001495,0.6234302520751953
433,433,,E14001496,0.5862312316894531
434,434,,E14001497,0.37775343656539917
435,435,,E14001498,0.6973438262939453
436,436,,E14001499,0.0
437,437,,E14001500,0.5521717071533203
438,438,,E14001501,0.4956531524658203
439,439,,E14001502,0.4941997528076172
440,440,,E14001503,0.0
441,441,,E14001504,-0.31594038009643555
442,442,,E14001505,0.0
443,443,,E14001506,-0.09782886505126953
444,444,,E14001507,0.0
445,445,,E14001508,0.6210136413574219
446,446,,E14001509,0.0
447,447,,E14001510,-0.502899169921875
448,448,,E14001511,0.530676543712616
449,449,,E14001512,0.4384072721004486
450,450,,E14001513,0.006159067153930664
451,451,,E14001514,-0.24528884887695312
452,452,,E14001515,-0.40724849700927734
453,453,,E14001516,0.0
454,454,,E14001517,0.0
455,455,,E14001518,-0.2217397689819336
456,456,,E14001519,-0.1492757797241211
457,457,,E14001520,0.0
458,458,,E14001521,-0.23478221893310547
459,459,,E14001522,-0.04347928240895271
460,460,,E14001523,-0.019805273041129112
461,461,,E14001524,0.0
462,462,,E14001525,0.0
463,463,,E14001526,0.23159560561180115
464,464,,E14001527,0.0
465,465,,E14001528,-0.29782772064208984
466,466,,E14001529,0.11231708526611328
467,467,,E14001530,0.8676811456680298
468,468,,E14001531,0.0
469,469,,E14001532,0.6608715057373047
470,470,,E14001533,0.32333260774612427
471,471,,E14001534,0.0
472,472,,E14001535,-0.2731895446777344
473,473,,E14001536,0.4260845184326172
474,474,,E14001537,0.4978313446044922
475,475,,E14001538,-0.3347816467285156
476,476,,E14001539,-0.3922710418701172
477,477,,E14001540,0.7115926742553711
478,478,,E14001541,0.2826080322265625
479,479,,E14001542,0.15096664428710938
480,480,,E14001543,0.25344181060791016
481,481,,E14001544,-0.3996380567550659
482,482,,E14001545,0.39492836594581604
483,483,,E14001546,0.0
484,484,,E14001547,0.0
485,485,,E14001548,0.5797091126441956
486,486,,E14001549,0.37463951110839844
487,487,,E14001550,0.36304283142089844
488,488,,E14001551,0.9811592102050781
489,489,,E14001552,0.47502344846725464
490,490,,E14001553,0.0
491,491,,E14001554,0.4671497344970703
492,492,,E14001555,0.24674034118652344
493,493,,E14001556,0.0
494,494,,E14001557,0.0
495,495,,E14001558,0.33768272399902344
496,496,,E14001559,0.0
497,497,,E14001560,0.0
498,498,,E14001561,-0.4188394546508789
499,499,,E14001562,0.0
500,500,,E14001563,0.0
501,501,,E14001564,-0.5231924057006836
502,502,,E14001565,0.0
503,503,,E14001566,0.03188323974609375
504,504,,E14001567,0.0
505,505,,E14001568,0.0
506,506,,E14001569,0.5512412190437317
507,507,,E14001570,0.36739182472229004
508,508,,E14001571,0.21050739288330078
509,509,,E14001572,0.9391314387321472
510,510,,E14001573,0.6434764862060547
511,511,,E14001574,0.0
512,512,,E14001575,0.6527530550956726
513,513,,E14001576,0.0
514,514,,E14001577,-0.43804264068603516
515,515,,E14001578,0.45848792791366577
516,516,,E14001579,0.02815682627260685
517,517,,E14001580,-0.37539708614349365
518,518,,E14001581,0.8470993041992188
519,519,,E14001582,-0.19193828105926514
520,520,,E14001583,-0.2784421443939209
521,521,,E14001584,0.0
522,522,,E14001585,-0.45942163467407227
523,523,,E14001586,0.0
524,524,,E14001587,0.29811516404151917
525,525,,E14001588,0.45362281799316406
526,526,,E14001589,-0.34275341033935547
527,527,,E14001590,0.40271806716918945
528,528,,E14001591,0.5159435272216797
529,529,,E14001592,0.6369590759277344
530,530,,E14001593,0.4673919677734375
531,531,,E14001594,0.0
532,532,,E14001595,0.031887054443359375
533,533,,E14001596,0.0
534,534,,E14001597,0.04637336730957031
535,535,,E14001598,-0.42246341705322266
536,536,,E14001599,0.2949256896972656
537,537,,E14001600,0.42246437072753906
538,538,,E14001601,0.0
539,539,,E14001602,0.0
540,540,,E14001603,0.5086949467658997
541,541,,E14001604,0.0
542,542,,E14001605,-0.4287433624267578
543,543,,N05000001,-0.008694648742675781
544,544,,N05000002,0.0
545,545,,N05000003,-0.044928550720214844
546,546,,N05000004,0.0
547,547,,N05000005,0.02083289623260498
548,548,,N05000006,-0.1520533561706543
549,549,,N05000007,0.01425131130963564
550,550,,N05000008,0.0
551,551,,N05000009,0.015010288916528225
552,552,,N05000010,-0.10118536651134491
553,553,,N05000011,0.09574246406555176
554,554,,N05000012,-0.2472219467163086
555,555,,N05000013,0.0
556,556,,N05000014,-0.11942043155431747
557,557,,N05000015,0.02121283859014511
558,558,,N05000016,-0.03454192355275154
559,559,,N05000017,0.06280231475830078
560,560,,N05000018,-0.02520132064819336
561,561,,S14000021,-0.29927825927734375
562,562,,S14000027,-0.10626500844955444
563,563,,S14000045,-0.5577905178070068
564,564,,S14000048,-0.14411258697509766
565,565,,S14000051,-0.2774863839149475
566,566,,S14000060,-0.12681102752685547
567,567,,S14000061,0.0
568,568,,S14000062,-0.3929947316646576
569,569,,S14000063,-0.3166661262512207
570,570,,S14000064,-0.2992725372314453
571,571,,S14000065,-0.2844206988811493
572,572,,S14000066,0.012319882400333881
573,573,,S14000067,-0.18412479758262634
574,574,,S14000068,-0.3065195083618164
575,575,,S14000069,-0.3367467522621155
576,576,,S14000070,0.0
577,577,,S14000071,-0.23840570449829102
578,578,,S14000072,-0.23804378509521484
579,579,,S14000073,-0.058498091995716095
580,580,,S14000074,-0.24650683999061584
581,581,,S14000075,0.0
582,582,,S14000076,-0.4009053707122803
583,583,,S14000077,-0.33647409081459045
584,584,,S14000078,-0.43550586700439453
585,585,,S14000079,0.0
586,586,,S14000080,-0.5775356292724609
587,587,,S14000081,0.0
588,588,,S14000082,-0.3637666702270508
589,589,,S14000083,-0.27753543853759766
590,590,,S14000084,0.0
591,591,,S14000085,0.0
592,592,,S14000086,0.0
593,593,,S14000087,-0.2797098159790039
594,594,,S14000088,0.0
595,595,,S14000089,0.0
596,596,,S14000090,-0.24166631698608398
597,597,,S14000091,-0.3809298574924469
598,598,,S14000092,-0.3945631980895996
599,599,,S14000093,-0.15434837341308594
600,600,,S14000094,-0.24310088157653809
601,601,,S14000095,-0.5081157684326172
602,602,,S14000096,-0.29068470001220703
603,603,,S14000097,-0.19818925857543945
604,604,,S14000098,-0.5548911094665527
605,605,,S14000099,0.0
606,606,,S14000100,-0.15244507789611816
607,607,,S14000101,0.0
608,608,,S14000102,-0.13864581286907196
609,609,,S14000103,-0.29984721541404724
610,610,,S14000104,-0.303621768951416
611,611,,S14000105,-0.2498919516801834
612,612,,S14000106,-0.07898616790771484
