,region,constituency,name,pr_djf_anom
532,532,,E14001595,0.21767807006835938
533,533,,E14001596,0.0
534,534,,E14001597,0.18994593620300293
535,535,,E14001598,0.19842147827148438
536,536,,E14001599,0.32623815536499023
537,537,,E14001600,0.18242478370666504
538,538,,E14001601,0.0
539,539,,E14001602,0.0
540,540,,E14001603,0.21922659873962402
541,541,,E14001604,0.0
542,542,,E14001605,0.163252592086792
543,543,,N05000001,0.2005171775817871
544,544,,N05000002,0.0
545,545,,N05000003,0.20346808433532715
546,546,,N05000004,0.0
547,547,,N05000005,0.21321967244148254
548,548,,N05000006,0.2276736944913864
549,549,,N05000007,0.20874792337417603
550,550,,N05000008,0.0
551,551,,N05000009,0.21771056950092316
552,552,,N05000010,0.16495154798030853
553,553,,N05000011,0.1919935643672943
554,554,,N05000012,0.23346580564975739
555,555,,N05000013,0.0
556,556,,N05000014,0.210954949259758
557,557,,N05000015,0.22294197976589203
558,558,,N05000016,0.23032641410827637
559,559,,N05000017,0.1898798942565918
560,560,,N05000018,0.20545655488967896
561,561,,S14000021,0.26192140579223633
562,562,,S14000027,0.11281414330005646
563,563,,S14000045,0.1650206446647644
564,564,,S14000048,0.2712886929512024
565,565,,S14000051,0.1615653932094574
566,566,,S14000060,0.1648242473602295
567,567,,S14000061,0.0
568,568,,S14000062,0.17448721826076508
569,569,,S14000063,0.19753611087799072
570,570,,S14000064,0.14217853546142578
571,571,,S14000065,0.13147631287574768
572,572,,S14000066,0.15660841763019562
573,573,,S14000067,0.2620771825313568
574,574,,S14000068,0.17961907386779785
575,575,,S14000069,0.15853862464427948
576,576,,S14000070,0.0
577,577,,S14000071,0.179274320602417
578,578,,S14000072,0.1773918867111206
579,579,,S14000073,0.19373436272144318
580,580,,S14000074,0.14590728282928467
581,581,,S14000075,0.0
582,582,,S14000076,0.1723598837852478
583,583,,S14000077,0.2472199648618698
584,584,,S14000078,0.19103670120239258
585,585,,S14000079,0.0
586,586,,S14000080,0.17898797988891602
587,587,,S14000081,0.0
588,588,,S14000082,0.18094348907470703
589,589,,S14000083,0.16804075241088867
590,590,,S14000084,0.0
591,591,,S14000085,0.0
592,592,,S14000086,0.0
593,593,,S14000087,0.2353992462158203
594,594,,S14000088,0.0
595,595,,S14000089,0.0
596,596,,S14000090,0.16024255752563477
597,597,,S14000091,0.15786543488502502
598,598,,S14000092,0.20293033123016357
599,599,,S14000093,0.29511594772338867
600,600,,S14000094,0.1780296415090561
601,601,,S14000095,0.19171389937400818
602,602,,S14000096,0.16931632161140442
