,region,constituency,name,pr_djf_anom
388,389,E14000918,Sevenoaks,0.18128872
389,390,E14000919,Sheffield Central,0.1639278
390,391,E14000920,Sheffield South East,0.1639278
391,392,E14000921,"Sheffield, Brightside and Hillsborough",0.1639278
392,393,E14000922,"Sheffield, Hallam",0.1777327
393,394,E14000923,"Sheffield, Heeley",0.16476941
394,395,E14000924,Sherwood,0.15988588
395,396,E14000925,Shipley,0.18267655
396,397,E14000926,Shrewsbury and Atcham,0.1818779
397,398,E14000927,Sittingbourne and Sheppey,0.16428554
398,399,E14000928,Skipton and Ripon,0.19380832
399,400,E14000929,Sleaford and North Hykeham,0.16215235
400,401,E14000930,Slough,0.17889214
401,402,E14000931,Solihull,0.20248199
402,403,E14000932,Somerton and Frome,0.22121559
403,404,E14000933,South Basildon and East Thurrock,0.17735839
404,405,E14000934,South Cambridgeshire,0.1602468
405,406,E14000935,South Derbyshire,0.1864655
406,407,E14000936,South Dorset,0.28384823
407,408,E14000937,South East Cambridgeshire,0.16409905
408,409,E14000938,South East Cornwall,0.24371846
409,410,E14000939,South Holland and The Deepings,0.16694008
410,411,E14000940,South Leicestershire,0.20098805
411,412,E14000941,South Norfolk,0.15813418
412,413,E14000942,South Northamptonshire,0.18959951
413,414,E14000943,South Ribble,0.31160817
414,415,E14000944,South Shields,0.13783312
415,416,E14000945,South Staffordshire,0.21136957
416,417,E14000946,South Suffolk,0.1657157
417,418,E14000947,South Swindon,0.18223143
418,419,E14000948,South Thanet,0.17251754
419,420,E14000949,South West Bedfordshire,0.1789341
420,421,E14000950,South West Devon,0.2942332
421,422,E14000951,South West Hertfordshire,0.1845367
422,423,E14000952,South West Norfolk,0.16787384
423,424,E14000953,South West Surrey,0.19290344
424,425,E14000954,South West Wiltshire,0.20754309
425,426,E14000955,"Southampton, Itchen",0.22985101
426,427,E14000956,"Southampton, Test",0.2214117
427,428,E14000957,Southend West,0.18214035
428,429,E14000958,Southport,0.3331704
429,430,E14000959,Spelthorne,0.18422365
430,431,E14000960,St Albans,0.17919707
431,432,E14000961,St Austell and Newquay,0.283324
432,433,E14000962,St Helens North,0.21758175
433,434,E14000963,St Helens South and Whiston,0.21758175
434,435,E14000964,St Ives,0.26807117
435,436,E14000965,Stafford,0.20574272
436,437,E14000966,Staffordshire Moorlands,0.21914917
437,438,E14000967,Stalybridge and Hyde,0.30418825
438,439,E14000968,Stevenage,0.16463518
439,440,E14000969,Stockport,0.29508018
440,441,E14000970,Stockton North,0.15250707
441,442,E14000971,Stockton South,0.15250707
442,443,E14000972,Stoke-on-Trent Central,0.25558376
443,444,E14000973,Stoke-on-Trent North,0.25558376
444,445,E14000974,Stoke-on-Trent South,0.21308374
445,446,E14000975,Stone,0.20506175
446,447,E14000976,Stourbridge,0.1997273
447,448,E14000977,Stratford-on-Avon,0.19488788
448,449,E14000978,Streatham,0.18782187
449,450,E14000979,Stretford and Urmston,0.21076965
450,451,E14000980,Stroud,0.21777153
451,452,E14000981,Suffolk Coastal,0.16548519
452,453,E14000982,Sunderland Central,0.13783312
453,454,E14000983,Surrey Heath,0.1781354
454,455,E14000984,Sutton and Cheam,0.20027947
455,456,E14000985,Sutton Coldfield,0.20604348
456,457,E14000986,Tamworth,0.19993258
457,458,E14000987,Tatton,0.21173842
458,459,E14000988,Taunton Deane,0.20582384
459,460,E14000989,Telford,0.18855834
460,461,E14000990,Tewkesbury,0.21366286
461,462,E14000991,The Cotswolds,0.19796145
462,463,E14000992,The Wrekin,0.18992622
463,464,E14000993,Thirsk and Malton,0.15532172
464,465,E14000994,Thornbury and Yate,0.22353327
465,466,E14000995,Thurrock,0.181077
466,467,E14000996,Tiverton and Honiton,0.21598598
467,468,E14000997,Tonbridge and Malling,0.19073343
468,469,E14000998,Tooting,0.18782187
469,470,E14000999,Torbay,0.20232368
470,471,E14001000,Torridge and West Devon,0.31412166
471,472,E14001001,Totnes,0.23619902
472,473,E14001002,Tottenham,0.18195987
473,474,E14001003,Truro and Falmouth,0.27260613
