,region,constituency,name,pr_ann_anom
435,436,E14000965,Stafford,0.034465194
436,437,E14000966,Staffordshire Moorlands,0.028430462
437,438,E14000967,Stalybridge and Hyde,0.07440424
438,439,E14000968,Stevenage,0.029799461
439,440,E14000969,Stockport,0.08532381
440,441,E14000970,Stockton North,0.024389505
441,442,E14000971,Stockton South,0.024389505
442,443,E14000972,Stoke-on-Trent Central,0.052493572
443,444,E14000973,Stoke-on-Trent North,0.052493572
444,445,E14000974,Stoke-on-Trent South,0.03409767
445,446,E14000975,Stone,0.034705997
446,447,E14000976,Stourbridge,0.032123327
447,448,E14000977,Stratford-on-Avon,0.0320384
448,449,E14000978,Streatham,0.031379938
449,450,E14000979,Stretford and Urmston,0.050895452
450,451,E14000980,Stroud,0.05269265
451,452,E14000981,Suffolk Coastal,0.032358646
452,453,E14000982,Sunderland Central,0.02254653
453,454,E14000983,Surrey Heath,0.028468609
454,455,E14000984,Sutton and Cheam,0.017017126
455,456,E14000985,Sutton Coldfield,0.025814772
456,457,E14000986,Tamworth,0.02316451
457,458,E14000987,Tatton,0.045234203
458,459,E14000988,Taunton Deane,0.04322827
459,460,E14000989,Telford,0.027154446
460,461,E14000990,Tewkesbury,0.041832447
461,462,E14000991,The Cotswolds,0.03858762
462,463,E14000992,The Wrekin,0.029584726
463,464,E14000993,Thirsk and Malton,0.02517783
464,465,E14000994,Thornbury and Yate,0.056654215
465,466,E14000995,Thurrock,0.029494286
466,467,E14000996,Tiverton and Honiton,0.041419268
467,468,E14000997,Tonbridge and Malling,0.023145199
468,469,E14000998,Tooting,0.031379938
469,470,E14000999,Torbay,0.053287983
470,471,E14001000,Torridge and West Devon,0.080117464
471,472,E14001001,Totnes,0.055292606
472,473,E14001002,Tottenham,0.040319204
473,474,E14001003,Truro and Falmouth,0.08991879
474,475,E14001004,Tunbridge Wells,0.029423714
475,476,E14001005,Twickenham,0.03890872
476,477,E14001006,Tynemouth,0.034367085
477,478,E14001007,Uxbridge and South Ruislip,0.035749674
478,479,E14001008,Vauxhall,0.031379938
479,480,E14001009,Wakefield,0.038832426
480,481,E14001010,Wallasey,0.13500023
481,482,E14001011,Walsall North,0.024587631
482,483,E14001012,Walsall South,0.019288063
483,484,E14001013,Walthamstow,0.040319204
484,485,E14001014,Wansbeck,0.022844791
485,486,E14001015,Wantage,0.035583258
486,487,E14001016,Warley,0.01915288
487,488,E14001017,Warrington North,0.0486753
488,489,E14001018,Warrington South,0.040107727
489,490,E14001019,Warwick and Leamington,0.036375284
490,491,E14001020,Washington and Sunderland West,0.025234938
491,492,E14001021,Watford,0.035544157
492,493,E14001022,Waveney,0.030981382
493,494,E14001023,Wealden,0.035673283
494,495,E14001024,Weaver Vale,0.047697783
495,496,E14001025,Wellingborough,0.037126303
496,497,E14001026,Wells,0.061861217
497,498,E14001027,Welwyn Hatfield,0.03529477
498,499,E14001028,Wentworth and Dearne,0.030206442
499,500,E14001029,West Bromwich East,0.019288063
500,501,E14001030,West Bromwich West,0.024587631
501,502,E14001031,West Dorset,0.050606515
502,503,E14001032,West Ham,0.040431738
503,504,E14001033,West Lancashire,0.077284455
504,505,E14001034,West Suffolk,0.027839392
505,506,E14001035,West Worcestershire,0.031593222
506,507,E14001036,Westminster North,0.03522086
507,508,E14001037,Westmorland and Lonsdale,0.06455226
508,509,E14001038,Weston-Super-Mare,0.08173406
509,510,E14001039,Wigan,0.0632596
510,511,E14001040,Wimbledon,0.031379938
511,512,E14001041,Winchester,0.040600657
512,513,E14001042,Windsor,0.028321505
513,514,E14001043,Wirral South,0.09296274
514,515,E14001044,Wirral West,0.09150815
515,516,E14001045,Witham,0.026797771
516,517,E14001046,Witney,0.03486699
517,518,E14001047,Woking,0.03010869
518,519,E14001048,Wokingham,0.032039642
519,520,E14001049,Wolverhampton North East,0.024587631
520,521,E14001050,Wolverhampton South East,0.024587631
521,522,E14001051,Wolverhampton South West,0.02811861
522,523,E14001052,Worcester,0.030238628
523,524,E14001053,Workington,0.057971716
524,525,E14001054,Worsley and Eccles South,0.048975468
525,526,E14001055,Worthing West,0.07477093
